event_id,road_id,event_type,severity,detected_at,source_type,active,segment_risk_probability
E00001,R00001,Landslide,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.926
E00002,R00002,Flooding,HIGH,2026-08-27T12:00:00Z,Government Road Feed,1,0.962
E00003,R00003,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.193
E00004,R00004,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.071
E00005,R00005,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.116
E00006,R00006,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.804
E00007,R00007,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Field Officer,1,0.975
E00008,R00008,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.084
E00009,R00009,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.085
E00010,R00010,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.153
E00011,R00011,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.162
E00012,R00012,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.26
E00013,R00013,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.123
E00014,R00014,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.057
E00015,R00015,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.24
E00016,R00016,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.717
E00017,R00017,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.085
E00018,R00018,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.262
E00019,R00019,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.247
E00020,R00020,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.799
E00021,R00021,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.274
E00022,R00022,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.09
E00023,R00023,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.284
E00024,R00024,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.072
E00025,R00025,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.118
E00026,R00026,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.264
E00027,R00027,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.11
E00028,R00028,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.731
E00029,R00029,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.095
E00030,R00030,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.299
E00031,R00031,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Disaster Monitoring,1,0.746
E00032,R00032,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.188
E00033,R00033,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.154
E00034,R00034,Heavy Traffic,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.966
E00035,R00035,Flooding,HIGH,2026-08-27T12:00:00Z,GPS/Traffic,1,0.975
E00036,R00036,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.275
E00037,R00037,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.075
E00038,R00038,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.225
E00039,R00039,Road Damage,MEDIUM,2026-08-27T12:00:00Z,Government Road Feed,1,0.855
E00040,R00040,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.135
E00041,R00041,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.188
E00042,R00042,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.106
E00043,R00043,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.07
E00044,R00044,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.244
E00045,R00045,Bridge Restriction,HIGH,2026-08-27T12:00:00Z,Field Officer,1,0.918
E00046,R00046,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.261
E00047,R00047,No Active Incident,NONE,2026-08-27T12:00:00Z,Weather API,0,0.132
E00048,R00048,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.173
E00049,R00049,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.116
E00050,R00050,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.292
E00051,R00051,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.178
E00052,R00052,No Active Incident,NONE,2026-08-27T12:00:00Z,Disaster Monitoring,0,0.191
E00053,R00053,No Active Incident,NONE,2026-08-27T12:00:00Z,Field Officer,0,0.07
E00054,R00054,No Active Incident,NONE,2026-08-27T12:00:00Z,GPS/Traffic,0,0.136
E00055,R00055,No Active Incident,NONE,2026-08-27T12:00:00Z,Government Road Feed,0,0.288
