road_id,from_node,to_node,state,from_district,to_district,road_type,distance_km,normal_speed_kmph,baseline_travel_time_hr,elevation_m,slope_degree,road_condition_score,bridge_flag
R00001,N0001,N0002,Arunachal Pradesh,Tawang,Lower Subansiri,State Highway,54.5,38,1.43,1597.9,16.5,0.644,0
R00002,N0002,N0003,Arunachal Pradesh,Lower Subansiri,Tawang,Major District Road,113.0,32,3.53,1684.9,20.7,0.96,0
R00003,N0003,N0004,Arunachal Pradesh,Tawang,Upper Subansiri,PMGSY Road,162.4,22,7.38,1580.1,22.8,0.926,0
R00004,N0004,N0005,Arunachal Pradesh,Upper Subansiri,Upper Subansiri,State Highway,157.9,38,4.16,1320.8,16.8,0.649,0
R00005,N0005,N0006,Arunachal Pradesh,Upper Subansiri,East Kameng,State Highway,163.8,38,4.31,1549.7,25.1,0.2,0
R00006,N0006,N0007,Arunachal Pradesh,East Kameng,West Kameng,Rural Road,234.1,25,9.36,1354.8,21.5,0.82,0
R00007,N0007,N0008,Arunachal Pradesh,West Kameng,Tawang,PMGSY Road,151.1,22,6.87,1648.2,15.5,0.797,0
R00008,N0008,N0009,Arunachal Pradesh,Tawang,Namsai,PMGSY Road,91.6,22,4.16,1976.0,18.7,0.859,0
R00009,N0009,N0010,Arunachal Pradesh,Namsai,East Kameng,Major District Road,258.3,32,8.07,921.8,20.7,0.806,0
R00010,N0010,N0011,Arunachal Pradesh,East Kameng,Namsai,National Highway,150.3,45,3.34,1980.2,17.1,0.812,0
R00011,N0011,N0012,Arunachal Pradesh,Namsai,West Siang,Rural Road,131.4,25,5.26,1663.5,21.2,0.798,0
R00012,N0012,N0013,Arunachal Pradesh,West Siang,Upper Subansiri,Border Road,111.2,28,3.97,1398.0,18.2,0.638,0
R00013,N0013,N0014,Arunachal Pradesh,Upper Subansiri,Longding,Border Road,25.8,28,0.92,1130.4,21.4,0.888,0
R00014,N0014,N0015,Arunachal Pradesh,Longding,Tirap,National Highway,160.5,45,3.57,874.4,23.6,0.637,0
R00015,N0015,N0001,Arunachal Pradesh,Tirap,Tawang,Major District Road,266.6,32,8.33,1221.6,27.6,0.748,0
R00016,N0001,N0004,Arunachal Pradesh,Tawang,Upper Subansiri,Rural Road,219.8,25,8.79,1318.6,12.0,0.616,0
R00017,N0004,N0007,Arunachal Pradesh,Upper Subansiri,West Kameng,Rural Road,55.6,25,2.22,1205.7,27.7,0.471,0
R00018,N0007,N0010,Arunachal Pradesh,West Kameng,East Kameng,State Highway,93.2,38,2.45,1771.2,20.8,0.738,0
R00019,N0010,N0013,Arunachal Pradesh,East Kameng,Upper Subansiri,Rural Road,137.4,25,5.5,1646.1,19.4,0.848,0
R00020,N0013,N0001,Arunachal Pradesh,Upper Subansiri,Tawang,Border Road,99.6,28,3.56,1417.7,17.4,0.511,0
R00021,N0016,N0017,Assam,Darrang,Dhubri,National Highway,38.4,45,0.85,30,9.4,0.663,0
R00022,N0017,N0018,Assam,Dhubri,Darrang,Major District Road,156.6,32,4.89,30,8.6,0.504,0
R00023,N0018,N0019,Assam,Darrang,Dhemaji,PMGSY Road,254.1,22,11.55,70.7,3.1,0.838,0
R00024,N0019,N0020,Assam,Dhemaji,Dhubri,Rural Road,28.9,25,1.16,764.6,1,0.98,0
R00025,N0020,N0021,Assam,Dhubri,Golaghat,Rural Road,186.5,25,7.46,30,5.3,0.624,0
R00026,N0021,N0022,Assam,Golaghat,Barpeta,National Highway,52.1,45,1.16,58.3,12.4,0.503,0
R00027,N0022,N0023,Assam,Barpeta,Kamrup Metropolitan,Bridge Approach,187.2,20,9.36,30,1,0.467,1
R00028,N0023,N0024,Assam,Kamrup Metropolitan,Nagaon,Rural Road,83.3,25,3.33,1155.4,1,0.82,0
R00029,N0024,N0025,Assam,Nagaon,Tinsukia,Rural Road,111.6,25,4.47,1011.8,11.5,0.678,0
R00030,N0025,N0026,Assam,Tinsukia,Kamrup,Major District Road,141.4,32,4.42,32.6,11.0,0.899,0
R00031,N0026,N0027,Assam,Kamrup,Tinsukia,State Highway,25.4,38,0.67,756.2,9.8,0.382,0
R00032,N0027,N0028,Assam,Tinsukia,Lakhimpur,National Highway,182.5,45,4.05,598.5,10.6,0.622,0
R00033,N0028,N0029,Assam,Lakhimpur,Barpeta,Border Road,264.9,28,9.46,30,5.7,0.743,0
R00034,N0029,N0030,Assam,Barpeta,Dibrugarh,State Highway,173.7,38,4.57,722.8,5.6,0.599,0
R00035,N0030,N0016,Assam,Dibrugarh,Darrang,Major District Road,129.3,32,4.04,655.2,7.2,0.804,0
R00036,N0016,N0019,Assam,Darrang,Dhemaji,National Highway,141.1,45,3.14,165.6,2.4,0.594,0
R00037,N0019,N0022,Assam,Dhemaji,Barpeta,Border Road,201.3,28,7.19,30,7.0,0.869,0
R00038,N0022,N0025,Assam,Barpeta,Tinsukia,Rural Road,72.2,25,2.89,427.5,11.7,0.971,0
R00039,N0025,N0028,Assam,Tinsukia,Lakhimpur,Border Road,156.9,28,5.6,137.6,15.3,0.821,0
R00040,N0028,N0016,Assam,Lakhimpur,Darrang,National Highway,150.5,45,3.34,583.6,9.5,0.811,0
R00041,N0031,N0032,Manipur,Noney,Ukhrul,PMGSY Road,87.0,22,3.96,617.1,12.6,0.925,0
R00042,N0032,N0033,Manipur,Ukhrul,Jiribam,Rural Road,168.5,25,6.74,312.5,11.9,0.785,0
R00043,N0033,N0034,Manipur,Jiribam,Ukhrul,National Highway,234.6,45,5.21,742.1,4.7,0.775,0
R00044,N0034,N0035,Manipur,Ukhrul,Ukhrul,State Highway,221.1,38,5.82,111.7,9.8,0.877,0
R00045,N0035,N0036,Manipur,Ukhrul,Ukhrul,State Highway,99.0,38,2.6,893.2,10.7,0.802,0
R00046,N0036,N0037,Manipur,Ukhrul,Tamenglong,Major District Road,63.3,32,1.98,599.0,16.6,0.745,0
R00047,N0037,N0038,Manipur,Tamenglong,Ukhrul,Rural Road,86.5,25,3.46,30,7.2,0.752,0
R00048,N0038,N0039,Manipur,Ukhrul,Thoubal,PMGSY Road,153.8,22,6.99,421.3,16.3,0.439,0
R00049,N0039,N0040,Manipur,Thoubal,Noney,Border Road,207.7,28,7.42,229.1,7.7,0.907,0
R00050,N0040,N0041,Manipur,Noney,Imphal East,State Highway,181.7,38,4.78,87.3,12.4,0.881,0
R00051,N0041,N0042,Manipur,Imphal East,Jiribam,Border Road,143.7,28,5.13,548.7,16.2,0.792,0
R00052,N0042,N0043,Manipur,Jiribam,Noney,Major District Road,102.7,32,3.21,176.8,1.2,0.899,0
R00053,N0043,N0044,Manipur,Noney,Ukhrul,Rural Road,125.1,25,5.0,299.8,8.3,0.507,0
R00054,N0044,N0045,Manipur,Ukhrul,Senapati,Border Road,46.7,28,1.67,655.7,14.1,0.588,0
R00055,N0045,N0031,Manipur,Senapati,Noney,State Highway,83.1,38,2.19,593.7,10.7,0.689,0
R00056,N0031,N0034,Manipur,Noney,Ukhrul,Bridge Approach,191.6,20,9.58,30,9.2,0.771,1
R00057,N0034,N0037,Manipur,Ukhrul,Tamenglong,National Highway,238.3,45,5.3,225.6,13.0,0.529,0
R00058,N0037,N0040,Manipur,Tamenglong,Noney,State Highway,40.9,38,1.08,263.0,8.9,0.727,0
