trip_id,start_node,start_state,start_district,destination_node,destination_state,destination_district,trip_type,cargo_type,vehicle_type,departure_time
T00001,N0095,Sikkim,Gyalshing,N0052,Meghalaya,East Garo Hills,Inter-state,Medicine,Truck,2026-10-03T23:30:00Z
T00002,N0009,Arunachal Pradesh,Namsai,N0032,Manipur,Ukhrul,Inter-state,Food Supplies,Heavy Truck,2026-09-06T11:45:00Z
T00003,N0006,Arunachal Pradesh,East Kameng,N0041,Manipur,Imphal East,Inter-state,Agricultural Produce,Heavy Truck,2026-01-24T16:00:00Z
T00004,N0011,Arunachal Pradesh,Namsai,N0042,Manipur,Jiribam,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-09-06T21:15:00Z
T00005,N0026,Assam,Kamrup,N0072,Mizoram,Mamit,Inter-state,Medicine,Truck,2026-11-25T18:45:00Z
T00006,N0111,Tripura,Dhalai,N0094,Sikkim,Gangtok,Inter-state,Agricultural Produce,Truck,2026-02-24T22:15:00Z
T00007,N0017,Assam,Dhubri,N0069,Mizoram,Mamit,Inter-state,Food Supplies,Truck,2026-08-05T15:30:00Z
T00008,N0087,Nagaland,Kohima,N0091,Sikkim,Gangtok,Inter-state,Essential Goods,Medium Goods Vehicle,2026-07-15T15:45:00Z
T00009,N0028,Assam,Lakhimpur,N0079,Nagaland,Peren,Inter-state,Medicine,Truck,2026-08-02T12:30:00Z
T00010,N0108,Tripura,Unakoti,N0043,Manipur,Noney,Inter-state,Medicine,Heavy Truck,2026-01-20T23:15:00Z
T00011,N0068,Mizoram,Aizawl,N0093,Sikkim,Gangtok,Inter-state,Medicine,Heavy Truck,2026-06-27T10:15:00Z
T00012,N0105,Sikkim,Mangan,N0083,Nagaland,Dimapur,Inter-state,Agricultural Produce,Medium Goods Vehicle,2026-11-18T03:15:00Z
T00013,N0015,Arunachal Pradesh,Tirap,N0067,Mizoram,Hnahthial,Inter-state,Essential Goods,Heavy Truck,2026-06-26T05:15:00Z
T00014,N0081,Nagaland,Chumoukedima,N0073,Mizoram,Champhai,Inter-state,Construction Material,Truck,2026-04-26T11:00:00Z
